Tarih,Günlük Vaka Sayısı,Toplam Vaka Sayısı,Günlük İyileşen Sayısı,Toplam İyileşen Sayısı,Günlük Vefat Sayısı,Toplam Vefat Sayısı,Günlük Test Sayısı,Toplam Test Sayısı,Gün Sayısı
11.03.2020,1,1,0,0,0,0,0,0,1
12.03.2020,0,1,0,0,0,0,0,0,2
13.03.2020,4,5,0,0,0,0,0,0,3
14.05.2020,1,6,0,0,0,0,0,0,4
15.03.2020,12,18,0,0,0,0,0,0,5
16.03.2020,29,47,0,0,0,0,0,0,6
17.03.2020,51,98,0,0,1,1,0,8002,7
18.03.2020,93,191,0,0,1,2,2015,10017,8
19.03.2020,168,359,0,0,2,4,1981,11995,9
20.03.2020,311,670,0,0,5,9,3656,15651,10
21.03.2020,277,947,0,0,12,21,2953,18604,11
22.03.2020,289,1236,0,0,9,30,1741,20345,12
23.03.2020,293,1529,0,0,7,37,3672,24017,13
24.03.2020,343,1872,0,0,7,44,3952,27969,14
25.03.2020,561,2433,26,26,15,59,5035,33004,15
26.03.2020,1196,3629,0,26,16,75,7286,40290,16
27.03.2020,2069,5698,16,42,17,92,7533,47823,17
28.03.2020,1704,7402,28,70,16,108,7641,55464,18
29.03.2020,1815,9217,35,105,23,131,9982,65446,19
30.03.2020,1610,10827,57,162,37,168,11535,76981,20
31.03.2020,2704,13531,81,243,46,214,15422,92403,21
01.04.2020,2148,15679,90,333,63,277,14396,106799,22
02.04.2020,2456,18135,82,415,79,356,18757,125556,23
03.04.2020,2786,20921,69,484,69,425,16160,141716,24
04.04.2020,3013,23934,302,786,76,501,19664,161380,25
05.04.2020,3135,27069,256,1042,73,574,20065,181445,26
06.04.2020,3148,30217,284,1326,75,649,21400,202845,27
07.04.2020,3892,34109,256,1582,76,725,20023,222868,28
08.04.2020,4117,38226,264,1846,87,812,24900,247768,29
09.04.2020,4056,42282,296,2142,96,908,28578,276338,30
10.04.2020,4747,47029,281,2423,98,1006,30864,307210,31
11.04.2020,5138,52167,542,2965,95,1101,33170,340380,32
12.04.2020,4789,56956,481,3446,97,1198,35720,376100,33
13.04.2020,4093,61049,511,3957,98,1296,34456,410556,34
14.04.2020,4062,65111,842,4799,107,1403,33070,443626,35
15.04.2020,4281,69392,875,5674,115,1518,34090,477716,36
16.04.2020,4801,74193,1415,7089,125,1643,40427,518143,37
17.04.2020,4353,78546,1542,8631,126,1769,40270,558413,38
18.04.2020,3783,82329,1822,10453,121,1890,40520,598933,39
19.04.2020,3977,86306,1523,11976,127,2017,35344,634277,40
20.04.2020,4674,90980,1454,13430,123,2140,39703,673980,41
21.04.2020,4611,95591,1488,14918,119,2259,39429,713409,42
22.04.2020,3083,98674,1559,16477,117,2376,37535,750944,43
23.04.2020,3116,101790,2014,18491,115,2491,40962,791906,44
24.04.2020,3112,104912,3246,21737,109,2600,38351,830257,45
25.04.2020,2861,107773,3845,25582,106,2706,38308,868565,46
26.04.2020,2357,110130,3558,29140,99,2805,30177,898742,47
27.04.2020,2131,112261,4651,33791,95,2900,20143,918885,48
28.04.2020,2392,114653,5018,38809,92,2992,29230,948115,49
29.04.2020,2936,117589,5231,44040,89,3081,43498,991613,50
30.04.2020,2615,120204,4846,48886,93,3174,42004,1033617,51
01.05.2020,2188,122392,4922,53808,84,3258,41431,1075048,52
02.05.2020,1983,124375,4451,58259,78,3336,36318,1111366,53
03.05.2020,1670,126045,4892,63151,61,3397,24001,1135367,54
04.05.2020,1614,127659,5015,68166,64,3461,35771,1171138,55
05.05.2020,1832,129491,5119,73285,59,3520,33283,1204421,56
06.05.2020,2253,131744,4917,78202,64,3584,30303,1234724,57
